ticket_id,bol_ts,terminal_code,sold_to_id,payer_id,bill_to_id,product_code,gallons_net,gallons_gross,temperature_f,status
BOL-2026-0001,2026-06-10 08:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7000.0,7140.0,88.0,delivered
BOL-2026-0002,2026-06-12 09:00:00,DAL,APEX-DAL,APEX-PAYER,APEX-BILL,ULSD,6400.0,6464.0,80.0,delivered
BOL-2026-0003,2026-06-15 07:30:00,HSC,GCA,GCA,GCA,JETA,5000.0,5075.0,82.0,delivered
BOL-2026-0004,2026-06-20 11:00:00,BMT,METRO-BMT,METRO-PAYER,METRO-BILL,ULSD,8000.0,8080.0,77.0,delivered
BOL-2026-0005,2026-07-02 06:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6100.0,6222.0,89.0,delivered
BOL-2026-0101,2026-07-20 06:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8000.0,8160.0,90.0,delivered
BOL-2026-0102,2026-07-22 14:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7500.0,7605.0,85.0,delivered
BOL-2026-0103,2026-07-25 08:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,9200.0,9384.0,92.0,delivered
BOL-2026-0104,2026-07-28 11:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6800.0,6884.0,82.0,delivered
BOL-2026-0105,2026-07-15 16:00:00,DAL,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4000.0,4080.0,88.0,delivered
BOL-2026-0201,2026-07-21 07:00:00,DAL,APEX-DAL,APEX-PAYER,APEX-BILL,RBOB,5500.0,5610.0,86.0,delivered
BOL-2026-0202,2026-07-24 09:15:00,DAL,APEX-DAL,APEX-PAYER,APEX-BILL,ULSD,6100.0,6171.5,80.0,delivered
BOL-2026-0203,2026-07-29 13:40:00,DAL,APEX-DAL,APEX-PAYER,APEX-BILL,RBOB,4800.0,4896.0,87.0,delivered
BOL-2026-0301,2026-07-18 10:00:00,BMT,METRO-BMT,METRO-PAYER,METRO-BILL,ULSD,9000.0,9090.0,78.0,delivered
BOL-2026-0302,2026-07-26 15:30:00,BMT,METRO-BMT,METRO-PAYER,METRO-BILL,ULSD,7200.0,7272.0,79.0,delivered
BOL-2026-0401,2026-07-19 05:50:00,HSC,GCA,GCA,GCA,JETA,6500.0,6601.25,84.0,delivered
BOL-2026-0402,2026-07-27 12:10:00,HSC,GCA,GCA,GCA,JETA,5800.0,5890.7,83.0,delivered
BOL-2026-0501,2026-07-23 10:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5600.0,5712.0,91.0,quality_hold
BOL-2026-0502,2026-07-30 14:00:00,BMT,METRO-BMT,METRO-PAYER,METRO-BILL,ULSD,4300.0,4343.0,76.0,quality_hold
