ticket_id,bol_ts,terminal_code,sold_to_id,payer_id,bill_to_id,product_code,gallons_net,gallons_gross,temperature_f,status
BOL-2026-000001,2026-07-12 05:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7366.8,7520.3,90.2,delivered
BOL-2026-000002,2026-06-07 18:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6373.0,6437.2,74.6,delivered
BOL-2026-000003,2026-07-13 18:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7938.0,8114.4,92.2,delivered
BOL-2026-000004,2026-07-01 13:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4639.5,4713.4,83.1,delivered
BOL-2026-000005,2026-06-25 13:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8384.4,8471.6,83.1,delivered
BOL-2026-000006,2026-07-22 16:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7043.4,7201.8,92.6,delivered
BOL-2026-000007,2026-07-24 08:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5768.8,5860.0,82.9,delivered
BOL-2026-000008,2026-06-20 07:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5252.7,5312.0,85.1,delivered
BOL-2026-000009,2026-07-28 12:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4440.5,4543.8,93.7,delivered
BOL-2026-000010,2026-06-29 07:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7287.0,7349.6,79.1,delivered
BOL-2026-000011,2026-07-25 19:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6613.9,6706.5,80.3,delivered
BOL-2026-000012,2026-07-26 17:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6391.0,6462.4,76.2,quality_hold
BOL-2026-000013,2026-06-08 10:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5841.0,5993.7,97.9,delivered
BOL-2026-000014,2026-07-30 05:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6509.0,6568.8,80.4,delivered
BOL-2026-000015,2026-06-09 18:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7966.2,8077.8,80.3,delivered
