invoice_id,ticket_id,product_code,line_gallons_net,line_amount_usd
INV-2026-0001,BOL-2026-000241,ULSD,5640.7,13041.30
INV-2026-0001,BOL-2026-000546,RBOB,7751.7,16929.71
INV-2026-0001,BOL-2026-000660,RBOB,7607.0,16613.69
INV-2026-0002,BOL-2026-000037,RBOB,5337.2,11656.44
INV-2026-0002,BOL-2026-000091,RBOB,5195.3,11346.54
INV-2026-0002,BOL-2026-000137,RBOB,6127.6,13382.68
INV-2026-0002,BOL-2026-000165,ULSD,8318.2,19231.68
INV-2026-0002,BOL-2026-000179,ULSD,5984.1,13835.24
INV-2026-0002,BOL-2026-000185,RBOB,7073.3,15448.09
INV-2026-0002,BOL-2026-000322,RBOB,7364.8,16084.72
INV-2026-0002,BOL-2026-000346,RBOB,7593.9,16585.08
INV-2026-0002,BOL-2026-000376,ULSD,6912.2,15981.01
INV-2026-0002,BOL-2026-000380,ULSD,5725.7,13237.82
INV-2026-0002,BOL-2026-000383,RBOB,7667.7,16746.26
INV-2026-0002,BOL-2026-000401,ULSD,5980.1,13825.99
INV-2026-0002,BOL-2026-000408,RBOB,5430.2,11859.56
INV-2026-0002,BOL-2026-000431,RBOB,6478.3,14148.61
INV-2026-0002,BOL-2026-000525,ULSD,6432.5,14871.94
INV-2026-0002,BOL-2026-000526,RBOB,5450.1,11903.02
INV-2026-0002,BOL-2026-000575,RBOB,7257.2,15849.72
INV-2026-0002,BOL-2026-000591,ULSD,5935.6,13723.11
INV-2026-0002,BOL-2026-000593,RBOB,4151.8,9067.53
INV-2026-0002,BOL-2026-000629,ULSD,5609.5,12969.16
INV-2026-0002,BOL-2026-000637,RBOB,3972.7,8676.38
INV-2026-0002,BOL-2026-000640,RBOB,4587.1,10018.23
INV-2026-0002,BOL-2026-000658,RBOB,4300.9,9393.17
INV-2026-0002,BOL-2026-000664,RBOB,5788.4,12641.87
INV-2026-0002,BOL-2026-000687,ULSD,5380.7,12440.18
INV-2026-0002,BOL-2026-000699,RBOB,8157.6,17816.20
INV-2026-0002,BOL-2026-000715,RBOB,4277.1,9341.19
INV-2026-0002,BOL-2026-000742,ULSD,7882.7,18224.80
INV-2026-0002,BOL-2026-000743,RBOB,5277.9,11526.93
INV-2026-0002,BOL-2026-000757,RBOB,7450.1,16271.02
INV-2026-0002,BOL-2026-000771,RBOB,4769.6,10416.81
INV-2026-0003,BOL-2026-000002,RBOB,6373.0,13918.63
INV-2026-0003,BOL-2026-000013,RBOB,5841.0,12756.74
