invoice_id,invoice_date,payer_id,bill_to_id,invoice_status,invoice_amount_usd,line_count
INV-2026-0001,2026-06-07,APEX-PAYER,APEX-BILL,posted,46584.70,3
INV-2026-0002,2026-06-14,APEX-PAYER,APEX-BILL,posted,418520.98,31
INV-2026-0003,2026-06-21,APEX-PAYER,APEX-BILL,posted,840854.06,61
INV-2026-0004,2026-06-28,APEX-PAYER,APEX-BILL,posted,661047.71,47
INV-2026-0005,2026-07-05,APEX-PAYER,APEX-BILL,posted,700380.95,50
INV-2026-0006,2026-07-12,APEX-PAYER,APEX-BILL,posted,623138.89,45
INV-2026-0007,2026-07-19,APEX-PAYER,APEX-BILL,posted,843505.67,63
INV-2026-0008,2026-07-26,APEX-PAYER,APEX-BILL,posted,1068932.25,77
INV-2026-0009,2026-08-01,APEX-PAYER,APEX-BILL,posted,984582.78,70
INV-2026-0010,2026-06-05,GCA,GCA,posted,21726.44,1
INV-2026-0011,2026-06-14,GCA,GCA,posted,147569.78,8
INV-2026-0012,2026-06-21,GCA,GCA,posted,186796.91,12
INV-2026-0013,2026-06-28,GCA,GCA,posted,165519.80,11
INV-2026-0014,2026-07-04,GCA,GCA,posted,88663.78,6
INV-2026-0015,2026-07-12,GCA,GCA,posted,169374.30,13
INV-2026-0016,2026-07-19,GCA,GCA,posted,404725.41,24
INV-2026-0017,2026-07-26,GCA,GCA,posted,193214.05,13
INV-2026-0018,2026-08-01,GCA,GCA,posted,235405.23,16
INV-2026-0019,2026-06-04,METRO-PAYER,METRO-BILL,posted,14665.48,1
INV-2026-0020,2026-06-14,METRO-PAYER,METRO-BILL,posted,190427.84,14
INV-2026-0021,2026-06-20,METRO-PAYER,METRO-BILL,posted,120178.98,10
INV-2026-0022,2026-06-28,METRO-PAYER,METRO-BILL,posted,213121.42,17
INV-2026-0023,2026-07-04,METRO-PAYER,METRO-BILL,posted,150342.52,13
INV-2026-0024,2026-07-12,METRO-PAYER,METRO-BILL,posted,188438.06,15
INV-2026-0025,2026-07-19,METRO-PAYER,METRO-BILL,posted,372095.23,29
INV-2026-0026,2026-07-26,METRO-PAYER,METRO-BILL,posted,148462.03,14
INV-2026-0027,2026-08-01,METRO-PAYER,METRO-BILL,posted,254741.90,21
